#gen	Feasible	f1	f2	f3	f4	f5	c1	c2	c3	c4	c5	c6	c7	x1	x2	x3
10	1	67078.35416	145.8677534	1150651.215	1969768.576	16958.36666	0.3216653336	0.9317123684	39178.02067	15546.21438	9535.772779	2119.326582	514.5246099	0.04862258448	0.04032464448	0.01
10	1	67535.29983	288.8894468	1272700.761	1661825.179	7326.051378	0.7069579449	1.016532192	42589.37308	16127.75553	10128.40212	2119.322046	559.9834943	0.09629648225	0.04460187849	0.01000207008
10	1	65074.06191	608.0592393	615048.4899	4153838.128	7189.153516	0.7124338594	1.01773767	42637.86832	16136.02183	10136.82537	2119.325578	560.6296733	0.2026864131	0.02155441315	0.01
10	1	64514.10448	257.6368248	465141.9338	5118966.51	24059.25675	0.03762973004	0.8691837194	36663.12798	15117.49893	9098.886538	2119.310509	481.0120381	0.0858789416	0.01630092843	0.01000947378
10	1	73025.50007	185.1155018	2716265.277	224282.0362	5253.350732	0.7898659707	1.034788439	43318.75394	16252.40551	10255.68996	2117.899609	569.7255677	0.06170516726	0.09519168809	0.0108280801
10	1	73108.23757	147.3962153	2762004.048	208719.3156	6541.991026	0.738320359	1.023436424	42867.06627	16175.09369	10176.64216	2119.325417	563.6839078	0.04913207177	0.09679460621	0.01
10	1	73450.51343	98.99591894	2853468.965	183750.0135	9765.740291	0.6093703884	0.995048877	41725.34866	15980.46271	9978.300402	2119.32598	548.4696655	0.03299863965	0.1	0.01000002553
10	1	64512.43963	257.4015506	462617.6556	5140705.992	24226.51688	0.03093932478	0.8677112692	36603.47826	15107.35775	9088.575058	2119.185081	480.2191482	0.08580051688	0.01621246494	0.01008234588
10	1	64353.49567	279.3461544	422493.1164	5431798.73	24440.01049	0.02239958048	0.8658308429	36528.33461	15094.51686	9075.463296	2119.326825	479.215557	0.0931153848	0.01480629794	0.01
10	1	73028.4117	220.7714503	2712885.777	225665.6739	4322.040677	0.8271183729	1.04299013	43647.75901	16308.54654	10312.94745	2117.64835	574.1137805	0.07359048342	0.09507325331	0.01097378231
10	1	65333.88576	259.8485394	684480.6604	3770889.362	15960.06272	0.3615974912	0.9405031887	39531.57826	15606.48608	9597.193608	2119.326534	519.2360299	0.08661617981	0.02398766795	0.01
10	1	65210.71213	190.0685499	617105.697	4191767.932	24745.9038	0.01016384802	0.8631438763	36413.15303	15075.33616	9056.298942	2117.248172	477.7136106	0.0633561833	0.02162650811	0.01120763667
10	1	64827.88571	455.7200134	549263.3513	4552489.241	11119.21481	0.5552314075	0.9831305113	41246.0046	15898.74792	9895.027646	2119.326181	542.0820459	0.1519066711	0.01924896882	0.01
10	1	66486.88083	347.1626566	992593.0652	2454928.377	7867.666776	0.685293329	1.011762848	42397.56724	16095.05721	10095.07972	2119.325721	557.4274813	0.1157208855	0.03478548663	0.01
10	1	64000.75715	4350	328147.0067	6194908.187	1319.336176	0.947226553	1.069425862	44716.6959	16490.40503	10497.9661	2119.315346	588.3316898	1.45	0.01149993256	0.01000296303
10	1	73450.51549	4197.538225	2853468.965	183750.0486	-516.6346043	1.020665384	1.085592955	45366.93669	16601.25184	10610.92536	2119.268977	596.9965561	1.399179408	0.1	0.01000004483
10	1	67124.69009	115.7617096	1163033.468	1936083.412	21329.90164	0.1468039345	0.8932177007	37629.80539	15282.28688	9266.813303	2119.326744	493.8934808	0.03858723655	0.04075858131	0.01
10	1	64884.99217	510.0016955	564523.7875	4456731.956	9567.260579	0.6173095768	0.9967966407	41795.64203	15992.44576	9990.51191	2119.325998	549.4063767	0.1700005652	0.01978377177	0.01
10	1	68504.60809	233.9288831	1528923.594	1164113.823	7564.635441	0.6974145824	1.014431821	42504.31955	16113.29325	10113.69519	2119.152993	558.8527715	0.07797629438	0.05358122388	0.01010031314
10	1	67476.35291	210.5607801	1257007.57	1698519.979	10474.15972	0.5810336113	0.9888107087	41474.4562	15937.69254	9934.714777	2119.326111	545.1263347	0.07018692669	0.04405190965	0.01
10	1	64512.43963	257.4015506	462617.6556	5140705.992	24226.51688	0.03093932478	0.8677112692	36603.47826	15107.35775	9088.575058	2119.185081	480.2191482	0.08580051688	0.01621246494	0.01008234588
10	1	65682.86549	184.3391529	777737.7668	3311495.44	19984.06069	0.2006375723	0.9050688469	38106.44609	15363.54082	9349.616409	2119.326702	500.2450754	0.06144638428	0.02725586913	0.01
10	1	65729.25085	279.3461544	790133.2261	3254805.422	12712.40239	0.4915039044	0.9691012912	40681.76404	15802.56065	9797.006494	2119.326325	534.5631175	0.0931153848	0.02769026879	0.01
10	1	65737.27348	305.85971	792277.0964	3245099.447	11510.80111	0.5395679556	0.9796822981	41107.32107	15875.10625	9870.935229	2119.32622	540.233984	0.1019532367	0.02776540085	0.01
10	1	65887.80824	247.2473796	511029.3901	5368078.84	24169.89726	0.03320410976	0.8682714791	36560.12209	15104.17625	9088.870881	2099.93489	479.9463963	0.08241579319	0.01790905723	0.02126610422
10	1	65039.93813	542.9403499	605384.4605	4210933.282	8287.719161	0.6684912336	1.008064075	42248.69388	16069.68565	10069.23048	2119.292911	555.4441533	0.1809801166	0.02121573663	0.01001910673
10	1	67447.38374	538.9204824	1249266.202	1716936.017	3653.445848	0.8538621661	1.048872247	43890.06845	16349.48701	10354.36042	2119.32412	577.3161786	0.1796401608	0.0437806129	0.01
10	1	68201.36725	250.9083323	1401167.327	1413600.3	7911.041097	0.6835583561	1.01139048	42372.35373	16091.41306	10091.91582	2116.334681	557.1388822	0.08363611075	0.04910399741	0.01173768399
10	1	63840.2774	4237.393927	285346.8965	6575303.126	1695.238576	0.932190457	1.066115741	44583.58375	16467.71201	10474.83948	2119.32151	586.5577899	1.412464642	0.01	0.01
10	1	65682.86549	360.4940912	777737.7668	3311495.44	9845.060926	0.606197563	0.9943503988	41697.25674	15975.67381	9973.420193	2119.326034	548.0953189	0.1201646971	0.02725586913	0.01
10	1	65283.49629	190.0685499	670744.6908	3844099.978	22569.76877	0.09720924937	0.8822997863	37190.64244	15207.42543	9190.527553	2119.310462	488.0415638	0.0633561833	0.02350629003	0.01000947964
10	1	67447.38374	538.9204824	1249266.202	1716936.017	3653.445848	0.8538621661	1.048872247	43890.06845	16349.48701	10354.36042	2119.32412	577.3161786	0.1796401608	0.0437806129	0.01
10	1	73108.23757	147.3962153	2762004.048	208719.3156	6541.991026	0.738320359	1.023436424	42867.06627	16175.09369	10176.64216	2119.325417	563.6839078	0.04913207177	0.09679460621	0.01
10	1	65754.69841	184.3391529	796933.5252	3224117.916	19484.27753	0.2206288988	0.9094698151	38283.44843	15393.71478	9380.365658	2119.326684	502.6037643	0.06144638428	0.0279285857	0.01
10	1	64512.43963	257.4015506	462617.6556	5140705.992	24226.51688	0.03093932478	0.8677112692	36603.47826	15107.35775	9088.575058	2119.185081	480.2191482	0.08580051688	0.01621246494	0.01008234588
10	1	64271.02924	457.3965726	400455.7878	5601134.939	15475.58752	0.3809764993	0.9447693588	39703.15917	15635.73583	9627.001032	2119.326508	521.522474	0.1524655242	0.01403399836	0.01
10	1	67034.73087	1593.762751	1138993.857	2002017.14	873.7177683	0.9650512893	1.073349852	44874.53214	16517.31059	10525.38369	2119.318557	590.4348953	0.5312542503	0.03991611163	0.01
10	1	67859.08928	520.5298283	1354460.913	1485385.862	3475.148726	0.860994051	1.050443219	43952.25525	16360.15176	10365.282	2119.032945	578.1494753	0.1735099428	0.04746716819	0.01016907412
10	1	65737.27348	305.85971	792277.0964	3245099.447	11510.80111	0.5395679556	0.9796822981	41107.32107	15875.10625	9870.935229	2119.32622	540.233984	0.1019532367	0.02776540085	0.01
10	1	73925.30469	51.081491	2741873.507	233170.6387	21506.33349	0.1397466603	0.8917101404	37519.93712	15266.70307	9253.576211	2104.941591	492.6573233	0.01702716367	0.09608913014	0.01835732372
10	1	65039.93813	542.9403499	605384.4605	4210933.282	8287.719161	0.6684912336	1.008064075	42248.69388	16069.68565	10069.23048	2119.292911	555.4441533	0.1809801166	0.02121573663	0.01001910673
10	1	64759.54379	279.3461544	531000.4863	4669794.628	19289.48904	0.2284204386	0.911185075	38352.43439	15405.47496	9392.350055	2119.326677	503.5230539	0.0931153848	0.01860894556	0.01
10	1	64499.81265	338.20066	400952.1736	5716272.256	21434.70832	0.1426116672	0.89230651	37580.6382	15274.70515	9259.759317	2115.668778	493.2962483	0.1127335533	0.01405139423	0.01212516469
10	1	65175.93948	284.2605241	458156.5264	5509468.941	22873.06138	0.08507754483	0.8796645712	37046.69961	15185.31227	9170.031	2108.220552	486.2991274	0.09475350804	0.01605612439	0.01645237396
10	1	73450.51549	4197.538225	2853468.965	183750.0486	-516.6346043	1.020665384	1.085592955	45366.93669	16601.25184	10610.92536	2119.268977	596.9965561	1.399179408	0.1	0.01000004483
