#gen	Feasible	f1	f2	c1	c2	c3	c4	x1	x2	x3	x4
11	1	10.63216912	0.001574574659	100.3616064	26476.05309	1.141075165	1554238.434	0.3640820514	0.8798920974	9.747868392	1.505157217
11	1	9.690922067	0.001690496558	2645.105848	26160.18988	0.890716946	1107618.268	0.4503262148	0.8754100075	9.893250733	1.341043161
11	1	30.72152382	0.0005178706289	7573.178207	28811.01131	2.547341265	35394334.16	1.691555242	0.4174486334	10	4.238896507
11	1	8.493480418	0.002061524936	7413.58358	25280.93304	0.6729420658	569337.4284	0.4014237621	1.844122989	9.970366093	1.074365828
11	1	8.689247539	0.001935544264	2873.725565	25638.43296	0.805040183	787140.6383	0.394519831	1.028399922	9.814834977	1.199560014
11	1	18.99904642	0.0008450678332	2944.287902	28080.73388	2.079854176	8917582.749	0.6037655353	0.6660565718	9.892070054	2.683619711
11	1	29.89595238	0.0005431261839	1531.044749	28769.50358	3.804491887	34305167.63	0.401842974	0.8913484459	9.867864334	4.206334861
11	1	11.55405673	0.001419910095	2290.195395	26790.80459	0.1410203442	1953350.882	1.47958262	0.2538511826	9.844164737	1.620602964
11	1	17.24117738	0.0009568857483	7897.280809	27803.53637	1.584467508	5615696.935	0.7111077895	1.072205926	9.997870067	2.295575297
11	1	6.35463845	0.002897130268	9020.990835	23348.4254	0.04519539428	196193.4734	0.7125199297	1.352007931	10	0.757715324
11	1	16.34773134	0.000973849989	4964.104135	27766.08748	1.530076575	5356954.327	0.7300307494	0.679589122	9.991200076	2.260107324
11	1	10.23150361	0.001636934637	7518.786658	26241.7317	0.5312022939	1114926.634	0.8098408669	0.8754100075	10	1.341043161
11	1	12.29881171	0.0012942114	744.1534324	27029.28938	1.321261735	2266510.55	0.3760937796	0.89353515	9.997667425	1.697355515
11	1	16.64532036	0.0009699120858	2500.025613	27784.63292	1.896797609	5621277.821	0.401842974	0.9720395541	9.948483508	2.298640583
11	1	28.65399857	0.0005724126111	9026.387423	28685.78737	2.876855683	26208623.43	0.9581401882	0.9876156808	10	3.834995871
11	1	21.44550154	0.0007397899284	5776.283954	28301.50272	2.164532508	12137558.24	0.8027963456	0.6820856805	10	2.967328854
11	1	15.57902724	0.001029371821	906.0928297	27674.7847	1.435407767	5160867.486	0.8038209436	0.4173846386	9.838626071	2.239228711
11	1	5.047553405	0.003325974722	4301.250668	22383.77119	0.2548900691	130597.7321	0.4103239004	1.145637923	9.97389051	0.6652139695
11	1	18.42788536	0.0009041286023	1162.774527	27924.19454	2.213653301	6646434.056	0.2143198815	1.702039517	10	2.427973183
11	1	19.29374186	0.0008328251602	4265.455499	28108.98065	1.91544904	9335222.336	0.809530085	0.5653331665	9.889758633	2.724979125
11	1	15.79906326	0.0009816935981	812.4722924	27746.11164	1.412928121	5190887.637	0.8232074757	0.4043968972	10	2.236135597
11	1	32.67731321	0.0005012103203	7615.523791	28867.3814	2.987196422	44604321.16	1.606183416	0.4430240774	9.84254124	4.593379838
11	1	7.653241366	0.002085346749	431.6491908	25214.30545	0.6509691361	538162.9362	0.4030901801	0.8112563037	9.995631903	1.054059316
11	1	34.23567136	0.0004629022196	2802.841183	28953.86573	3.465763229	56583837.24	1.506563457	0.2611593606	9.843322754	4.972326686
11	1	26.88555781	0.0006031719231	8138.259367	28615.16765	2.790020041	22399304.96	0.8494156671	0.9311361189	9.999991747	3.639435708
11	1	33.50319704	0.0004722153383	2216.654264	28932.74567	3.403235635	53270685.9	1.470027071	0.2538511826	9.843995207	4.873262706
11	1	23.48041585	0.0006756091461	4605.009637	28454.92252	2.570669043	16470536.33	0.7169665586	0.6641296516	9.960893568	3.287635601
11	1	35.8680708	0.00043904	7212.038841	28992	3.311582423	58091699.31	1.688417577	0.3944494881	10	5
11	1	35.72140829	0.0004468659575	7252.005381	28974.2444	4.123713486	55188177.48	0.7917704006	0.8572443403	9.997932079	4.915483886
11	1	20.44715692	0.0007923214908	7223.458001	28180.89604	2.042750505	9878845.924	0.7278488797	0.9311361189	9.999991747	2.770599385
11	1	20.2244038	0.0008095303875	8131.881303	28141.38431	1.870548424	9261695.087	0.8411471884	0.9395259998	10	2.711695613
11	1	25.41659033	0.0006103649345	2744.355462	28598.65194	2.789914919	21616329.3	0.8066219658	0.4869113722	10	3.596536884
11	1	14.84873278	0.00113967028	6830.303066	27425.63501	0.5159504013	3801206.912	1.506563457	0.4173846386	9.838626071	2.022513859
11	1	15.05457975	0.001119519418	6627.303098	27471.15315	0.5523547691	4010513.733	1.506563457	0.4051540702	9.838626071	2.058918227
11	1	27.47375652	0.0005849666092	6483.999031	28656.96442	3.136090405	24556805.75	0.6166024249	0.9876156808	10	3.75269283
11	1	11.18823293	0.001447379168	5217.042325	26678.26593	0.9144464833	1620986.085	0.6040488889	0.8511624454	9.995996635	1.518495372
11	1	20.32451762	0.0008079259361	5519.866152	28145.3452	2.315001467	9328720.514	0.4032977286	1.3571423	9.998505637	2.718299195
11	1	13.40228135	0.001214686369	1668.372678	27266.59712	1.188688465	3240358.386	0.7306907801	0.48926255	9.801285668	1.919379245
11	1	13.50187262	0.001186813096	1633.278503	27308.57409	1.188688465	3255852.559	0.7306907801	0.4877462246	9.877423088	1.919379245
11	1	13.19156617	0.001237314428	2492.805554	27203.5445	0.3532947523	2955537.516	1.506563457	0.2538511826	9.843995207	1.85985821
11	1	13.15934273	0.001241296653	4485.08042	27150.08422	1.373953479	2564658.879	0.394519831	1.220200611	10	1.76847331
11	1	31.53249089	0.0005045168546	3337.221512	28859.87556	3.056590574	43722062.36	1.506278538	0.274848684	9.842833405	4.562869112
11	1	31.50808006	0.0005108722941	4999.206988	28827.07892	3.843403547	36869180.27	0.4535607341	1.11844675	10	4.296964281
11	1	33.0172756	0.0004800280791	2805.517125	28914.83654	3.374510322	50612971.1	1.416104133	0.2779654744	9.846277629	4.790614455
11	1	25.30196875	0.0006130695442	1290.982556	28594.51528	2.88507643	21596995.73	0.7114604541	0.4869113722	9.985273032	3.596536884
11	1	19.52988087	0.0008327935025	5838.7067	28109.02858	1.91544904	9335294.844	0.809530085	0.6820856805	9.889883947	2.724979125
11	1	19.56543266	0.0008268625061	4982.115739	28122.25356	2.010202767	9527434.443	0.7332606803	0.6781983928	9.891159508	2.743463447
11	1	7.360979801	0.002402383104	1707.246558	24740.7845	0.6398165839	522492.8762	0.4142427323	0.8788839192	9.535034294	1.054059316
11	1	13.69895565	0.001144852603	2341.29068	27372.39189	1.145307476	3279814.789	0.7740717685	0.48926255	9.996652018	1.919379245
11	1	13.76711391	0.001143703104	3186.561996	27374.15104	1.145307476	3280482.349	0.7740717685	0.5294297974	10	1.919379245
11	1	11.07269089	0.001563907811	8004.57535	26441.98012	0.8631986009	1381584.252	0.5793837341	1.364583643	9.909249843	1.442582335
11	1	11.07357369	0.001556020077	7339.333602	26427.50493	1.01424564	1299045.384	0.3965330721	1.843456251	10	1.410778712
11	1	21.1158298	0.0007718869114	4574.01377	28256.4081	2.287308402	12248084.31	0.6988734079	0.679589122	9.838632162	2.98618181
11	1	27.10672208	0.0005911855459	6447.265474	28642.68625	3.064177369	23789771.04	0.6490392602	0.9311361189	10	3.713216629
11	1	27.04982576	0.0005912046359	5878.683323	28642.77737	3.112856036	23807331.1	0.6013484279	0.9311361189	9.999005759	3.714204464
11	1	20.91686669	0.0007811120621	7768.301219	28210.58035	2.019473535	10503160.14	0.809530085	0.9146816262	9.977975093	2.82900362
11	1	15.32762541	0.00106619096	6831.435133	27552.11259	0.5523547691	4050637.641	1.506563457	0.4173846386	10	2.058918227
11	1	21.80681404	0.0007158503645	1910.600279	28356.466	2.475343425	13397075.14	0.5912192383	0.6190224381	10	3.066562663
11	1	24.24944623	0.0006538494735	4607.023589	28504.68558	2.679918994	18170871.88	0.7171269191	0.6641296516	9.960893568	3.397045913
11	1	24.24944623	0.0006538494735	4607.023589	28504.68558	2.679918994	18170871.88	0.7171269191	0.6641296516	9.960893568	3.397045913
11	1	15.32762541	0.00106619096	6831.435133	27552.11259	0.5523547691	4050637.641	1.506563457	0.4173846386	10	2.058918227
11	1	21.80681404	0.0007158503645	1910.600279	28356.466	2.475343425	13397075.14	0.5912192383	0.6190224381	10	3.066562663
11	1	33.13042674	0.0004758823459	3357.209896	28920.27498	3.273163822	50381426.84	1.506563457	0.2753293442	9.88227938	4.779727279
11	1	21.03733704	0.0007730769755	7769.027574	28225.07837	2.030031911	10635503.37	0.809530085	0.9146816262	10	2.839561996
11	1	20.96856573	0.00077615339	4447.590838	28245.78654	2.275551724	11990532.05	0.6892197165	0.679589122	9.844154904	2.96477144
11	1	7.481883763	0.002364256614	4589.451042	24746.68338	0.6297913542	483548.3814	0.394519831	1.240526532	9.677931015	1.024311185
11	1	7.471362257	0.002367230783	4559.876255	24740.07485	0.6297913542	481705.5048	0.3932328947	1.240526532	9.677931015	1.023024249
11	1	23.24292393	0.0006933735361	7487.901907	28408.07096	1.497994913	14743232.36	1.667975355	0.4174486334	10	3.165970268
11	1	34.64528513	0.0004534518333	984.0471377	28965.56269	4.365877975	55640178.8	0.5691908553	0.5955022577	9.936114159	4.93506883
