#gen	Feasible	f1	f2	f3	f4	f5	c1	c2	c3	c4	c5	c6	c7	x1	x2	x3
60	1	65223.63154	1179.634112	420817.7775	5905351.038	6241.129263	0.7503548295	1.02613097	42927.08467	16188.41444	10192.81334	2105.197655	564.7075328	0.3932113706	0.01474758558	0.01820754974
60	1	69657.94958	100.6173702	1574967.421	1195751.641	19153.78574	0.2338485703	0.9124312279	38347.83604	15408.18695	9398.05193	2103.339966	503.7150719	0.03353912338	0.05519483268	0.01928776721
60	1	67265.47272	3470.734874	1200654.508	1837230.752	-51.14546715	1.002045819	1.081493972	45202.08011	16573.14837	10582.28607	2119.307101	594.7997175	1.156911625	0.04207701304	0.01
60	1	66436.54541	2358.239752	850428.9316	3129253.894	1275.35905	0.948985638	1.069837955	44706.71294	16490.39993	10499.38694	2111.553442	588.3215953	0.7860799175	0.02980333559	0.01451075895
60	1	66114.19791	510.3118585	579549.5071	4865820.55	10649.90568	0.5740037728	0.9873236685	41349.93298	15920.5995	9920.77093	2100.417995	543.7665494	0.1701039528	0.02031034906	0.02098495561
60	1	67855.22454	586.6483585	1087744.979	2361739.974	5067.474203	0.7973010319	1.036472901	43335.53016	16258.52192	10264.66	2103.00682	570.185076	0.1955494528	0.03812009144	0.01947995752
60	1	65147.4454	1269.061534	440300.5659	5668335.958	5399.939858	0.7840024057	1.033530583	43232.91522	16240.02446	10244.96564	2107.600678	568.7448756	0.4230205114	0.01543036112	0.01681128967
60	1	65491.83708	572.9818767	726689.6539	3555557.987	6379.294597	0.7448282161	1.024869089	42924.68656	16184.91634	10186.65209	2119.325372	564.4517413	0.1909939589	0.02546688479	0.01
60	1	70897.9606	1206.425012	1911583.664	746793.1303	1649.212266	0.9340315093	1.066571206	44548.26886	16465.11842	10475.07641	2103.646238	586.3354685	0.4021416705	0.06699157016	0.01910375432
60	1	68900.5231	1147.822121	1586931.916	1091696.729	1087.345473	0.9565061811	1.071478481	44788.80952	16503.36544	10511.73424	2116.263017	589.3409889	0.3826073737	0.05561412915	0.01177515879
60	1	67635.71289	283.2225966	1155326.922	2057424.925	8950.492743	0.6419802903	1.002255609	41985.41055	16026.69898	10027.0176	2110.623436	552.0730658	0.09440753222	0.04048850492	0.01505581368
60	1	69501.79268	2423.065464	1526752.756	1281703.441	1214.21739	0.9514313044	1.070403931	44699.99402	16491.13813	10501.72232	2102.931519	588.3685366	0.8076884879	0.05350514671	0.01951504119
60	1	72243.64697	564.6966209	2191981.707	519393.9639	3105.365826	0.875785367	1.053763971	44016.82204	16375.56637	10384.69511	2098.873553	579.3292427	0.188232207	0.07681813727	0.02187956319
60	1	68416.0978	1117.788945	1344765.481	1590720.108	1921.054426	0.923157823	1.064158812	44471.14882	16450.69995	10459.31425	2109.465442	585.215648	0.372596315	0.04712739116	0.01572524552
60	1	69952.32158	397.9261367	1571524.571	1236219.337	5494.321815	0.7802271274	1.032728983	43169.13392	16231.16673	10237.63274	2098.384845	568.0409535	0.1326420456	0.05507417779	0.02216522098
60	1	66501.0583	944.0454379	498896.6718	5803362.715	7704.199828	0.6918320069	1.013298375	42356.61275	16094.63784	10100.16773	2089.315982	557.3571998	0.3146818126	0.01748386535	0.02743439353
