#gen	Feasible	f1	f2	f3	f4	f5	c1	c2	c3	c4	c5	c6	c7	x1	x2	x3
95	1	65829.56794	1574.304528	285346.8965	7907052.693	8157.744587	0.6736902165	1.009311158	42189.20887	16066.55008	10071.92259	2087.258585	555.159017	0.524768176	0.01	0.02862974014
95	1	72653.41981	2753.914693	2570658.663	279153.3004	-42.67929797	1.001707172	1.081432902	45185.21178	16571.19359	10581.06791	2115.082136	594.6416503	0.9179715642	0.09008889512	0.01244633501
95	1	69292.45545	765.9427225	1580833.106	1144173.401	2390.712697	0.9043714921	1.060022753	44305.18909	16422.38364	10430.43722	2109.580297	583.002313	0.2553142408	0.055400396	0.01565934509
95	1	66807.55085	514.1170454	995731.8564	2515235.968	5403.214389	0.7838714245	1.033480156	43253.97056	16242.13901	10245.88098	2114.345162	568.9185971	0.1713723485	0.03489548576	0.01289308109
95	1	68512.56527	2045.266557	1266293.53	1839825.755	1541.861545	0.9383255382	1.067518026	44584.72904	16471.43736	10481.60281	2103.171569	586.8288265	0.681755519	0.04437733671	0.01937871951
95	1	67728.68333	860.7832732	959020.9698	2920178.3	4420.068655	0.8231972538	1.042192125	43545.95633	16295.64563	10303.54371	2097.280858	573.0798708	0.2869277577	0.03360895043	0.02280603796
95	1	64190.38933	797.4733911	288510.3664	6754955.907	12555.43884	0.4977824465	0.9705009317	40719.39273	15810.16769	9805.760746	2113.87343	535.1509436	0.2658244637	0.010110864	0.01316794022
95	1	63983.02043	2032.829448	323491.8094	6235029.075	3758.60822	0.8496556712	1.047946213	43852.82432	16343.13792	10347.89029	2119.324197	576.8198727	0.6776098159	0.01133679088	0.01
95	1	66250.28691	837.4788577	929368.5784	2680951.865	3056.970934	0.8777211626	1.054124659	44101.31497	16385.49864	10391.05865	2119.323609	580.1311969	0.2791596192	0.0325697805	0.01
95	1	70716.9279	153.5249016	2118034.003	512747.2431	8404.642517	0.6638142993	1.007035326	42206.4102	16062.5355	10061.99279	2119.027496	554.884897	0.05117496718	0.07422663534	0.01017331477
95	1	65517.57475	710.0945334	461245.5183	5656287.116	9496.032729	0.6201586909	0.9974764481	41766.75902	15991.11416	9992.174018	2102.898891	549.2817587	0.2366981778	0.0161643783	0.01954354021
95	1	65305.45848	471.2985733	676884.0995	3811006.02	8559.783981	0.6576086408	1.005668233	42152.44821	16053.27125	10052.49709	2119.325846	554.1610864	0.1570995244	0.02372144599	0.01
95	1	64545.96563	3465.512156	432527.2827	5433891.863	1398.756815	0.9440497274	1.068734482	44680.35942	16484.75565	10492.66704	2116.822831	587.8869652	1.155170719	0.01515794592	0.0114508365
95	1	66024.32979	517.5403541	308876.6883	7728158.85	20268.0562	0.1892777521	0.9026762237	37894.57584	15334.81116	9326.548651	2085.539862	497.9570667	0.1725134514	0.01082460304	0.02962908513
95	1	70893.82215	599.1747402	2169594.282	476500.7515	1526.162705	0.9389534918	1.067604708	44643.33297	16477.90624	10485.23535	2119.28148	587.3546203	0.1997249134	0.07603356858	0.01002299922
95	1	66169.11076	549.5080842	679794.1693	4107859.499	8184.672347	0.6726131061	1.009015384	42240.01816	16071.20543	10073.29961	2105.579366	555.5458182	0.1831693614	0.02382342958	0.01798613489
95	1	66780.66036	195.0274199	983372.8063	2563511.757	15125.52635	0.3949789461	0.9478688541	39809.70546	15655.05619	9647.662318	2114.034667	523.0261271	0.06500913995	0.03446236207	0.01307437485
95	1	64178.10289	1802.358038	298924.8663	6626098.865	5088.316256	0.7964673497	1.036251941	43366.65765	16261.27179	10265.31363	2114.6982	570.4146413	0.6007860127	0.01047584081	0.0126879007
95	1	64329.56016	1904.295159	297336.7508	6738394.454	5002.714813	0.7998914075	1.03701385	43388.61667	16265.57002	10270.16013	2112.160833	570.7474619	0.6347650531	0.0104201852	0.01416195625
95	1	72126.13807	943.4871479	2494712.148	303390.528	519.8225375	0.9792070985	1.076467103	44998.90389	16538.57644	10547.10874	2119.023522	592.096875	0.314495716	0.08742734471	0.01016988283
95	1	67571.8573	833.37839	864956.2066	3389818.096	5169.077025	0.793236919	1.035606613	43270.3256	16249.34627	10256.93985	2094.135202	569.4567329	0.2777927967	0.03031244486	0.02463386507
95	1	64698.85536	1016.380104	419987.6817	5633040.367	6614.055736	0.7354377706	1.022820148	42822.70866	16168.78238	10171.26147	2113.607118	563.1834092	0.3387933679	0.01471849482	0.01332210254
95	1	66421.1125	1254.916599	760890.4331	3651578.791	3277.146428	0.8689141429	1.052227201	43980.79199	16367.77735	10375.37341	2106.406221	578.7297887	0.418305533	0.02666545326	0.01750411178
95	1	64255.69757	614.9760298	396358.7385	5633194.025	11439.01102	0.5424395592	0.9803144641	41132.74613	15879.44051	9875.352127	2119.326213	540.5727919	0.2049920099	0.01389041701	0.01
95	1	64430.16101	1641.11671	373174.82	5960721.17	4394.450223	0.8242219911	1.042360625	43613.76565	16303.30588	10308.07272	2115.113638	573.7009527	0.5470389034	0.01307793512	0.01244633501
95	1	71849.87257	1125.118427	2270017.314	437192.427	1073.672137	0.9570531145	1.071619176	44772.77659	16502.01813	10511.52603	2109.921877	589.2277512	0.3750394757	0.07955290007	0.01545709631
95	1	64517.61766	1517.90356	466340.585	5109965.468	3437.488366	0.8625004654	1.050773917	43966.54949	16362.52503	10367.64714	2119.323319	578.3353558	0.5059678535	0.01634293524	0.01000036791
95	1	70919.8735	217.6166696	2117321.533	523134.4681	5950.31065	0.761987574	1.028658183	43064.71481	16209.57725	10212.44716	2115.712451	566.3749628	0.07253888988	0.07420166679	0.01209887233
95	1	64190.30727	580.1982818	321633.2843	6376602.146	15423.64923	0.3830540308	0.9452377714	39710.178	15637.68754	9629.624666	2115.872995	521.6707228	0.1933994273	0.01127165875	0.01200637698
95	1	64752.63281	334.2617531	529153.6795	4681823.973	16053.24637	0.3578701452	0.9396826363	39498.5765	15600.8602	9591.460467	2119.326538	518.7962567	0.1114205844	0.0185442241	0.01
95	1	66818.40806	316.9987423	874046.0934	3111500.008	10867.8835	0.5652846599	0.9853836775	41293.85798	15909.63793	9908.421746	2106.831004	542.9177009	0.1056662474	0.03063100052	0.01725924428
95	1	68543.9627	3821.195257	1241260.369	1927336.939	1165.103278	0.9533958689	1.070842122	44711.52003	16493.49257	10504.44907	2101.144923	588.5503558	1.273731752	0.04350004798	0.02055004573
95	1	65225.56892	329.0034535	653480.9211	3940105.825	13080.06052	0.4767975793	0.9658641804	40551.14666	15780.32113	9774.36574	2119.202424	532.8245066	0.1096678178	0.02290128013	0.01007199872
95	1	74273.60291	1458.537559	2791271.333	220988.5637	1186.850996	0.9525259601	1.070646968	44707.57154	16492.57026	10503.29974	2102.287762	588.4796837	0.4861791862	0.09782028008	0.0198879926
95	1	72706.84979	317.9043891	2575422.363	278223.8504	3211.625662	0.8715349735	1.052778126	44030.78232	16374.52108	10380.75117	2114.538716	579.2671056	0.1059681297	0.09025583928	0.01277976356
95	1	65552.99469	860.7832732	378194.5928	6557170.38	9951.810079	0.6019275968	0.9934808515	41586.95923	15961.68368	9963.2081	2097.318174	546.9742134	0.2869277577	0.01325385338	0.02278577347
95	1	65523.38304	3663.709813	612609.9326	4348948.217	1090.621194	0.9563751523	1.071463513	44773.37197	16501.68161	10510.81493	2111.926479	589.2039479	1.221236604	0.02146895376	0.01429335947
95	1	66558.97405	1816.928457	891911.2076	2944581.718	1589.788742	0.9364084503	1.067067471	44597.09681	16471.59781	10480.12916	2112.084093	586.8525002	0.605642819	0.03125708457	0.01420355632
95	1	64647.09803	2281.62308	350182.1006	6330071.579	3610.698486	0.8555720605	1.049277787	43875.25062	16348.94976	10355.48444	2110.228826	577.2628171	0.7605410266	0.01227215382	0.0152837352
