#gen	Feasible	f1	f2	c1	c2	c3	c4	x1	x2	x3	x4
48	1	20.3525075	0.000779068972	5682.282752	28211.32192	1.323025388	10391881.5	1.494700102	0.3593422051	9.999996203	2.81772549
48	1	5.79223936	0.002861250377	4740.208965	23430.83708	0.2317988474	203904.9551	0.5354302219	0.9108440489	9.999947669	0.7672290693
48	1	4.731636343	0.003401009227	380.0142254	22191.56045	0.01000794918	118982.0872	0.6354475182	0.5078428012	10	0.6454554674
48	1	7.000452703	0.002378941651	5511.436953	24538.46293	0.0273733235	359369.7437	0.8955515373	0.5898921171	9.999416382	0.9229248608
48	1	30.25566126	0.0005139240967	2476.613647	28820.07223	3.617966833	36216152.94	0.6534810598	0.5880096463	10	4.271447893
48	1	12.51055544	0.001265334553	3388.653073	27094.89962	1.043817209	2420949.299	0.691067938	0.6059371204	9.99998463	1.734885147
48	1	20.92580545	0.0007426741265	1120.895823	28294.88083	2.333561986	11996627.31	0.6222431533	0.5499480098	10	2.955805139
48	1	27.81144356	0.0005717178502	2393.967457	28699.93478	3.349295544	28513457.44	0.6026550504	0.6338930761	9.904372033	3.951950594
48	0	6.915050979	0.002227134147	-37473.47541	24886.68988	0.8343559233	439079.743	0.1513100728	0.5529716916	9.999984212	0.9856659961
48	1	15.96233806	0.0009898488473	4030.334914	27731.552	1.172774158	5142129.772	1.057173649	0.4208486838	9.981676824	2.229947808
48	1	8.002735098	0.002057802659	5454.954614	25275.45308	0.5125781817	558235.0113	0.5541907769	0.9590739695	10	1.066768959
48	1	8.03133595	0.002073869264	5804.872255	25238.56547	0.003417199416	545222.6804	1.055087326	0.5186165799	9.999999999	1.058504525
48	1	26.81665148	0.0005774911461	1496.625692	28674.12747	3.121860623	25523082.89	0.6794097786	0.5189049592	9.999999999	3.801270401
48	1	25.33190649	0.0006108046571	840.5302567	28597.64237	2.939583428	21569664.71	0.6543642842	0.5109862739	10	3.593947712
