#gen	Feasible	f1	f2	c1	c2	c3	c4	c5	x1	x2	x3	x4
14	1	0.1891207316	12.79110904	2.758925227	22.5	0.1524581984	0.7792080648	19521.37231	73.41379387	96.17271909	3000	2.910691443
14	1	0.1751279719	12.54149232	0.637669753	22.5	0.1326795594	0.7568211437	19927.82442	76.27137338	96.90904313	3000	2
14	1	1.859037078	2.182898786	0.9666231234	0	0.1481745405	0.7606980674	118762.9004	79.99270828	100.9593314	3000	11.33808862
14	1	0.1556806909	14.61793905	1.430905015	22.5	0.0992864925	0.765301859	16969.27686	63.41013752	84.84104253	3000	2.782678139
14	1	0.9685764539	4.041569715	1.092568078	7.5	0.06166118838	0.7612273312	63731.32358	56.39288732	77.4854554	3000	8.474861229
14	1	1.750015308	2.289155171	0.7045279142	0	0.1324864165	0.757589863	113208.4725	75.89601534	96.60054325	3000	11.233067
14	1	0.1614030736	14.59596929	2.196071483	22.5	0.1099479857	0.7732821028	16996.17358	63.10293898	85.29901047	3000	2.580673222
14	1	0.4093980679	8.224502735	3.76061002	20	0.1712969831	0.7884983085	30860.21802	76.02845031	99.78906033	3000	3.442556573
14	1	1.365722229	2.848251263	0.3303165224	2.5	0.09149101429	0.7528489983	90809.60562	65.99882569	86.32914221	3000	10.24493703
14	1	0.3101789696	9.607381455	1.038037318	20	0.09814016287	0.7610253139	26288.67792	64.70405179	85.74208911	3000	3.452772994
14	1	1.378907711	2.783788401	0.2850137109	5	0.1283920526	0.7526359409	92933.28126	76.56243111	96.84744482	3000	9.019947636
14	1	0.686890446	4.997088316	0.1525134236	15	0.1273784377	0.751030568	51372.8404	76.8742645	97.02677793	3000	5.752687028
14	1	0.9884461129	3.702663517	0.0612695067	10	0.1158249538	0.7498235026	69647.05317	73.76420204	93.82547155	3000	7.682515814
14	1	1.152754506	3.239680009	0.05272047602	7.5	0.1157183038	0.7497179805	79728.95078	73.77275107	93.82547155	3000	8.006196565
14	0	0.1476364291	12.28963546	-2.979443676	22.5	0.08290152436	0.7056269732	20354.65811	80	97.02055632	3000	2.773938927
14	1	0.1350399106	16.39523887	0.8781198415	22.5	0.05332258863	0.7587592575	15032.18629	55.56105319	76.43917303	3000	2.909050187
14	0	0.2510524748	11.00497566	-0.4785711182	20	0.0270477982	0.7422399009	22835.80898	55.85333365	75.37476254	3000	3.263094245
14	1	1.802574144	2.206737879	0.5501563125	0	0.1402864855	0.7558684154	117470.1982	79.23087712	99.78103343	3000	11.72631394
14	0	0.1437204619	6.628953212	-14.05754287	17.5	-0.5772154778	0.1590730953	38504.71318	79.29189894	85.23435607	3000	4.886859854
14	0	1.698240396	2.247171334	-0.2885486934	0	0.1243306264	0.7455323943	115340.3578	78.05755566	97.76900696	3000	11.39957553
14	0	0.3355615876	2.946398319	-14.79721473	5	-0.7161059753	0.03961731539	87754.67995	79.6645873	84.86737258	3000	9.003377054
14	1	0.1841697928	12.08356797	0.9060339363	22.5	0.1458036636	0.7599968412	20717.12507	79.4389064	100.3449403	3000	2.656829726
14	0	0.826751854	4.260301107	-0.1462565206	12.5	0.1168722006	0.7472659111	60413.03713	75.05703487	94.91077835	3000	6.902346761
14	1	0.6262617382	5.697168271	0.9865879898	15	0.1009858098	0.7604834082	44949.44442	65.63182343	86.61841142	3000	5.109218282
14	0	0.5062141796	3.930955452	-9.127334592	10	-0.1548871033	0.5398691792	65550.0026	73.74466261	84.61732801	3000	7.42552967
14	1	1.110974987	3.431543673	0.8901704224	10	0.1471664773	0.7598293459	75220.84382	80	100.8901704	3000	7.674635329
14	1	1.145500697	3.467774974	1.777477743	10	0.1547869499	0.7695018273	74425.53351	78.56746259	100.3449403	3000	7.990420295
14	1	0.8978859183	4.127892245	0.3433013419	10	0.08716324198	0.7529617283	62379.75259	64.89074172	85.23404306	3000	7.54937043
14	1	0.789968289	4.714760954	0.4836210063	10	0.04442658819	0.7541646026	54503.02097	55.34637258	75.82999358	3000	7.532569426
14	0	0.5657968841	5.927409006	-0.2789430497	15	0.06903114572	0.7451849458	43168.49599	63.32821602	83.04927297	3000	5.209975047
14	1	0.3287680027	8.673466409	0.09749244686	20	0.1152077682	0.7502606144	29216.2174	73.41379387	93.51128631	3000	3.408954045
14	1	1.028537989	5.106956397	9.920758899	12.5	0.1724182912	0.8305284469	50248.27301	55.19349356	85.11425246	3000	6.624302517
14	1	0.6078830358	5.748382521	0.5507063596	15	0.09194543116	0.7554403268	44540.95649	65.18297915	85.73368551	3000	5.109218282
14	0	0.3590324363	6.29466856	-5.878388515	17.5	0.008821249306	0.6455008061	40597.33977	79.4164893	93.53810078	3000	4.953562802
14	1	0.5151678345	6.246360395	0.1525134236	17.5	0.1273784377	0.751030568	40918.27232	76.8742645	97.02677793	3000	4.815114084
14	1	1.078717473	3.442615593	0.344940335	10	0.1396058497	0.7534429032	74976.02883	80	100.3449403	3000	7.938635847
14	1	0.5834033628	6.005866219	1.952683192	17.5	0.1592645692	0.7713468317	42592.81027	79.4164893	101.3691725	3000	4.938817949
14	0	0.1426786418	12.32812116	-3.50228492	22.5	0.07188300894	0.6963490206	20288.30571	80	96.49771508	3000	2.891782983
14	1	0.4985634012	6.429995266	0.08104846405	17.5	0.1182988973	0.7500859008	39723.98014	74.40695293	94.48800139	3000	4.852920648
14	1	0.3446442165	8.559702442	0.7959901911	20	0.1283268694	0.7585986911	29616.48136	74.15623116	94.95222136	3000	3.418830362
14	1	0.1490124598	15.13720921	1.249728383	22.5	0.08582971726	0.7632106587	16356.28525	60.93065297	82.18038135	3000	2.580673222
14	0	0.1263552352	16.63305881	-0.1934935596	22.5	0.0294946817	0.7458645892	14804.38745	55.19349356	75	3000	2.575317304
14	1	0.6561121649	5.192860192	0.009474080563	15	0.1145897355	0.7491778946	49402.14378	73.64341463	93.65288871	3000	5.631913124
14	1	0.1944711557	12.01264994	1.954777517	22.5	0.1592687385	0.7713682555	20844.7442	79.40838473	101.3631622	3000	2.656829726
14	0	0.0439879519	13.27378824	-14.53747441	22.5	-0.6642752073	0.0852510487	18778.78313	79.4389064	84.90143199	3000	2.656829726
14	1	0.5982374319	5.778542037	0.32932037	15	0.08697855315	0.7527941927	44303.78987	64.9050357	85.23435607	3000	5.067095485
14	1	0.876527024	4.172642359	0.07404217033	10	0.07954014872	0.7496559465	61701.09962	64.22267235	84.29671452	3000	7.389878553
14	1	1.266597425	3.124889715	1.25702212	7.5	0.141269799	0.7638460034	82690.79002	76.22993606	97.48695818	3000	8.003079227
14	1	0.1840452531	12.08258552	0.8900381707	22.5	0.1456316539	0.7598149078	20718.88277	79.45490216	100.3449403	3000	2.656829726
14	0	2.226809791	2.004068649	2.886532837	-2.5	0.1687417422	0.7805799726	129440.8444	78.81445316	101.700986	3000	12.03767417
14	0	0.2590816352	8.629336263	-4.273013105	20	0.03860590439	0.6814663918	29370.23076	76.18598701	91.9129739	3000	3.757281151
14	1	0.7213898385	4.886318685	0.6963157802	15	0.1404161571	0.7575631009	52557.83131	78.57009305	99.26640883	3000	5.546829754
14	1	0.4985634012	6.429995266	0.08104846405	17.5	0.1182988973	0.7500859008	39723.98014	74.40695293	94.48800139	3000	4.852920648
14	1	0.3056160945	9.586908166	0.6792405029	20	0.09363336897	0.7569394398	26346.7406	65.06284861	85.74208911	3000	3.475088602
14	1	0.3110358054	9.572080818	1.01735815	20	0.09897172089	0.7608047561	26388.94636	64.99640407	86.01376222	3000	3.448643752
14	1	0.3209603124	9.531031264	1.601616672	20	0.1082799036	0.7672026378	26506.47814	65.00613884	86.60775551	3000	3.817120166
14	0	0.3350008021	8.410145478	-0.1512008743	20	0.1205064207	0.7472332595	30159.15358	76.18598701	96.03478613	3000	3.788181682
14	1	1.631699373	2.728242272	3.55677502	5	0.1704710199	0.7867029056	94843.69648	76.5719575	100.1287325	3000	9.210508337
14	1	0.3420608787	8.378240969	0.192658865	20	0.1262751192	0.7515076466	30277.42745	76.331544	96.52420286	3000	3.224641214
14	0	0.2736100894	5.716842586	-10.84634512	15	-0.2844087764	0.4536610203	44791.65515	71.67521954	80.82887442	3000	5.211370321
14	1	0.3925469291	8.017844632	2.186882447	20	0.1614792874	0.7737336023	31678.83035	79.17568331	101.3625658	3000	3.79732209
14	1	1.213165505	3.221005927	0.9903213244	7.5	0.1298744442	0.7608022897	80196.40464	73.75618586	94.74650718	3000	8.281817058
14	1	0.647971259	8.860821524	21.15192127	20	0.2555019656	0.8759663423	28579.43363	59.75991941	100.9118407	3000	3.659843402
14	1	0.9540912985	4.125336731	2.203395067	12.5	0.1546603417	0.773832625	62418.95237	76.59322899	98.79662406	3000	6.83091663
14	0	1.03470876	3.073200704	-2.954219353	7.5	0.08328575253	0.706059421	84096.72659	79.96362955	97.0094102	3000	8.327519464
14	1	0.5982374319	5.778542037	0.32932037	15	0.08697855315	0.7527941927	44303.78987	64.9050357	85.23435607	3000	5.109218282
14	0	0.8478474204	3.139237782	-5.744376652	7.5	0.01348351309	0.6488225027	82308.7335	79.5698482	93.82547155	3000	8.157136505
14	0	1.139060452	3.244380473	-0.1584679392	7.5	0.112300602	0.7470759992	79612.13543	73.76420204	93.6057341	3000	8.699428946
14	0	0.946488954	3.763110036	-0.4787372546	10	0.1032276832	0.7429300666	68513.8618	72.69689778	92.21816052	3000	7.712415963
14	1	1.763186985	2.209676131	0.1244764586	0	0.1344848446	0.7507467319	117312.7989	79.33985858	99.46433504	3000	11.61652148
14	1	0.8237050941	4.319774103	0.0612695067	12.5	0.1158249538	0.7498235026	59568.90272	73.76420204	93.82547155	3000	6.784872945
14	1	1.314866058	2.891099042	0.093914261	5	0.1151631601	0.7502166216	89450.4156	73.41737205	93.51128631	3000	9.883437814
14	0	1.064996103	2.994958315	-3.355442938	2.5	0.004376411791	0.6985854235	86317.24061	64.22267235	80.86722942	3000	10.36509663
14	1	0.4400061666	7.374554645	0.3599084227	17.5	0.08080933737	0.753096501	34520.71523	63.32821602	83.68812444	3000	4.349197093
14	1	1.367174324	2.85179212	0.6116111658	5	0.1260610543	0.7564622656	90695.73664	74.29916718	94.91077835	3000	9.179820577
14	0	0.849515217	4.133799731	-0.7370364854	10	0.06935057297	0.7392687076	62289.32145	65.37015386	84.63311737	3000	7.457605264
14	1	0.5035747278	6.402620182	0.1968252575	17.5	0.1211022474	0.7515150215	39897.67229	74.70893647	94.90576173	3000	4.105095736
14	1	1.078795472	3.442588682	0.3462622836	10	0.1396246768	0.7534588025	74976.62196	80	100.3462623	3000	7.135939972
14	1	0.2903122613	10.30418189	1.14111924	20	0.07748322844	0.7619378298	24450.09599	59.49124693	80.63236617	3000	3.639441987
14	1	1.272483207	3.112498329	1.27040681	7.5	0.1424665375	0.7640024967	83023.57918	76.5719575	97.84236431	3000	8.003079227
14	0	1.070005789	3.062380027	-2.431816631	7.5	0.0937334268	0.7147514902	84397.05577	80	97.56818337	3000	8.327519464
14	1	0.2063400735	15.13497588	9.628975098	22.5	0.1731158769	0.8289727815	16358.83161	56.24807695	85.87705205	3000	2.578990765
14	1	1.480286907	2.602222072	0.1103257205	2.5	0.1153676238	0.7504182659	99480.36448	73.40096059	93.51128631	3000	10.65952697
14	1	1.380327619	2.899505034	1.167579724	5	0.1286714488	0.7627523196	89188.47956	72.59161259	93.75919231	3000	9.858756554
14	1	1.341918932	2.845174316	0.1793039564	5	0.1209054258	0.7513016751	90908.78602	74.73147439	94.91077835	3000	9.183887038
14	1	0.9707714345	4.176118052	2.282952658	10	0.1106510248	0.7741479707	61648.99807	62.94977417	85.23272683	3000	7.54896665
14	1	0.6909341784	5.157418906	0.9356395714	15	0.1289739713	0.7601821833	49747.81526	73.72292986	94.65856944	3000	5.232425377
14	1	0.6592117313	5.183970302	0.06983480455	15	0.1159317142	0.7499291347	49488.40594	73.75563674	93.82547155	3000	5.631622284
14	1	0.5986009033	5.779036366	0.3436093497	15	0.08716862024	0.7529654292	44299.92321	64.89074172	85.23435107	3000	5.099294452
14	1	0.1855633461	12.00752963	0.9307042689	22.5	0.1477126405	0.7602908101	20854.01669	80	100.9307043	3000	2.969488535
14	1	0.9493040306	4.164531979	1.720653702	10	0.104107735	0.7683980421	61823.01457	63.46812841	85.18878212	3000	7.103068756
14	0	0.1481168977	12.30914919	-2.896250568	22.5	0.08393014332	0.707047031	20320.96304	79.81453414	96.91828357	3000	2.281478368
14	1	1.380157958	2.845581091	0.5281113826	2.5	0.09471785671	0.7552045782	90895.66198	65.96336301	86.49147439	3000	10.24493703
14	1	0.2019905758	12.51307121	3.78583083	22.5	0.1682303422	0.7886824712	19975.13094	74.76070366	98.5465345	3000	2.735862612
14	1	1.345463823	2.897927492	0.6158414352	5	0.1216407558	0.7564722368	89237.52093	72.93645431	93.55229575	3000	9.818520302
14	1	1.110928061	3.611315655	1.587635683	7.5	0.105015097	0.7670207688	71431.53369	64.22267235	85.81030804	3000	8.000046234
14	1	0.2964478046	9.664250805	0.2170405009	20	0.08415831794	0.7514276303	26128.68595	64.70405179	84.92109229	3000	3.452772994
14	1	1.021143985	3.602254009	0.1585916791	10	0.124924473	0.7510842163	71613.48722	76.06955113	96.22814281	3000	7.997306858
14	1	1.1864054	5.168563413	16.41501383	15	0.2421609119	0.8606369747	49638.60795	64.9050357	101.3200495	3000	5.109218282
14	1	0.8018255809	4.936090256	3.268930574	15	0.1664565075	0.7840826559	52018.80546	76.27131165	99.54024222	3000	5.305100655
