#gen	Feasible	f1	f2	c1	c2	c3	c4	c5	x1	x2	x3	x4
41	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.69753999
41	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.69753999
41	1	0.2181947033	13.92467712	8.740009827	22.5	0.1854426074	0.8242071491	17858.92689	63.09957765	91.83958748	3000	2.887544738
41	1	2.370009331	2.119311866	6.003555298	0	0.2024679227	0.8066594581	122353.2145	80	106.0035553	3000	11.87057633
41	1	0.1274	20.26614419	0	22.5	0.09801191281	0.793133584	11989.08228	55	75	2465.430744	2
41	1	1.765190228	2.195084417	0.01214444261	0	0.1347875241	0.749374581	118098.6125	80	100.0121444	2999.984649	11.69753999
41	1	1.05852005	3.449607019	0.002041647023	10	0.1346373177	0.7492476331	74822.24852	80	100.0020416	3000	7.010233757
41	1	0.5102335819	6.458343939	0.6482195738	17.5	0.1247420302	0.7568738925	39545.66261	73.72615748	94.37437706	3000	4.392560252
41	1	0.1274	18.0224543	0	22.5	0.06041616662	0.7673799281	13593.69745	55	75	2772.362416	2
41	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.69753999
41	1	0.3220347952	9.944429475	2.644334468	20	0.1092532402	0.7776246666	25367.16803	61.23614406	83.88047852	3000	3.789821714
41	1	0.3986240738	8.30030777	0.008058855924	17.5	0.06073782881	0.7578613669	30570.15837	57.76187461	77.76993347	2888.758748	4.513385258
41	1	0.630524562	5.424146908	0.09525639462	15	0.1030073723	0.7501282971	47257.25024	69.99519355	90.09044994	3000	5.231479434
41	1	0.1895482006	14.20060537	5.406431746	22.5	0.1530164545	0.8015715126	17494.42708	63.42574751	88.83217926	3000	2.525625309
41	1	1.103611795	3.418412475	0.2703918991	7.5	0.1030595288	0.7522419369	75513.24793	69.22999626	89.50038816	3000	8.299421979
41	1	0.2548	11.14331746	0	20	0.03385325516	0.7491839313	22541.13421	55	75	2989.222025	3.41344534
41	1	0.1274	20.26614419	0	22.5	0.09801191281	0.793133584	11989.08228	55	75	2465.430744	2
41	1	0.4230739405	7.641596944	0.2940362763	17.5	0.0680347182	0.7521885305	33282.90731	60.7618434	81.05587968	3000	4.803532833
41	1	1.235529141	3.018252718	0.01062831011	7.5	0.1347638388	0.749354448	85644.11159	80	100.0106283	3000	8.288917112
41	1	0.6253658126	5.44912309	0.02203305227	15	0.1005690352	0.7492218032	47036.52037	69.66725322	89.68928628	2999.883726	5.21443164
41	1	0.7814942231	4.541562033	0.01705323389	12.5	0.1005208601	0.7491880217	56615.8939	69.66784487	89.6848981	2999.548669	6.919970143
41	1	0.46696422	6.848954397	0.04619961047	17.5	0.09923635719	0.7494964262	37238.96032	69.20955797	89.25575759	3000	4.210921349
41	1	1.266131784	3.010316831	0.4556932697	7.5	0.1411746467	0.7547678096	85872.26175	80	100.4556933	3000	8.355444363
41	1	0.48150257	6.694872404	0.2020867517	17.5	0.108317528	0.7514688142	38116.72568	70.96799982	91.17008657	3000	4.495086984
41	1	0.9377930677	3.892181814	0.01705323389	10	0.1004757985	0.749150283	66211.97278	69.66784487	89.6848981	3000	7.569763394
41	1	0.1274	20.26614419	0	22.5	0.09801191281	0.793133584	11989.08228	55	75	2465.430744	2
41	1	1.111417888	3.380646236	0.1849080026	7.5	0.1051451034	0.7512337348	76366.88383	70.17259816	90.35750617	3000	8.224929168
41	1	0.1337566588	16.3107271	0.5662722169	22.5	0.04999659056	0.7551828638	15114.73671	56.0810475	76.64731972	3000	2.675105747
41	1	0.3220347952	9.944429475	2.644334468	20	0.1092532402	0.7776246666	25367.16803	61.23614406	83.88047852	3000	3.789821714
41	1	0.8039060179	4.507253431	0.4415977956	12.5	0.1088261216	0.7543243926	57053.69708	70.03831503	90.47991283	3000	6.499410117
41	1	0.5419810852	6.148194092	0.8718884692	17.5	0.140865754	0.7595691974	41585.97167	77.88730843	98.7591969	3000	4.206952359
41	1	0.2548	11.14331746	0	20	0.03385325516	0.7491839313	22541.13421	55	75	2989.222025	3.41344534
41	1	1.588676846	2.414579589	0.01220839577	2.5	0.1347871088	0.7493740937	107281.1514	80	100.0122084	3000	10.4860761
41	1	0.4723978383	6.812313233	0.1711491989	17.5	0.1026958032	0.751045893	37444.09709	69.57252284	89.74367204	3000	4.849673234
41	1	0.1512258873	14.67281013	0.8895419978	22.5	0.09042809095	0.7592916768	16902.45213	63.42574751	84.31528951	3000	2.525625309
41	1	0.1274	20.41650107	0	22.5	0.1002358975	0.7946570472	11894.16091	55	75	2447.274132	2
41	1	0.6591679533	5.23360041	0.2644402375	15	0.1159128481	0.7522841	49010.57389	72.84815741	93.11259765	3000	5.948117057
41	1	2.017650887	2.162403504	2.555618431	0	0.1679713229	0.777420533	119897.0666	80	102.5556184	3000	11.86798985
41	1	0.9275024726	4.002659999	0.9243497769	12.5	0.14762716	0.7602185848	64359.60237	80	100.9243498	3000	6.510523044
41	1	1.765190228	2.195084417	0.01214444261	0	0.1347875241	0.749374581	118098.6125	80	100.0121444	2999.984649	11.69753999
41	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.69753999
41	1	0.2548	12.75560727	0	20	0.08013365989	0.7808867098	19578.20966	55	75	2611.388801	3.41344534
41	1	1.410363065	2.685152451	0.003887270122	5	0.1344497298	0.7492689348	96380.13762	79.92720146	99.93108873	3000	9.057484106
41	1	0.2548	12.75560727	0	20	0.08013365989	0.7808867098	19578.20966	55	75	2611.388801	3.41344534
41	1	0.2713432998	10.51161742	0.1443416767	20	0.05501644801	0.7503217941	23949.83894	58.6520701	78.79641178	2999.307987	3.413274984
41	1	0.827803231	4.483377053	0.9421287239	12.5	0.1172317957	0.7601460282	57362.33148	70.19859302	91.14072174	3000	6.920798232
41	1	0.2897653434	10.1876023	0.8547773478	20	0.07687449389	0.7587591451	24740.18425	60.46258462	81.31736197	3000	3.881982435
41	1	1.588671512	2.414580453	0.01214792345	2.5	0.1347862183	0.7493733419	107281.1126	80	100.0121479	3000	10.50285273
41	1	0.622362844	5.92695113	3.120128218	17.5	0.1743344397	0.7828065107	43171.90042	80	103.1201282	3000	4.176120294
41	1	0.6253658126	5.44912309	0.02203305227	15	0.1005690352	0.7492218032	47036.52037	69.66725322	89.68928628	2999.883726	5.21443164
41	1	0.7814942231	4.541562033	0.01705323389	12.5	0.1005208601	0.7491880217	56615.8939	69.66784487	89.6848981	2999.548669	6.919970143
41	1	0.4150179332	7.84243772	0.4404570297	17.5	0.06159086479	0.7538477194	32407.50072	58.84014627	79.28060329	3000	4.506210717
41	1	0.1274	20.25361875	0	22.5	0.0978251544	0.7930056517	11997.05327	55	75	2466.955439	2
41	1	0.1274	20.26614419	0	22.5	0.09801191281	0.793133584	11989.08228	55	75	2465.430744	2
41	1	0.1274	20.26614419	0	22.5	0.09801191281	0.793133584	11989.08228	55	75	2465.430744	2
41	1	1.410363065	2.685152451	0.003887270122	5	0.1344497298	0.7492689348	96380.13762	79.92720146	99.93108873	3000	9.057484106
41	1	0.7389051305	5.072498661	2.020951532	15	0.1466558565	0.771997344	50595.72577	74.58809907	96.6090506	2998.976952	5.713671258
41	1	0.46696422	6.848954397	0.04619961047	17.5	0.09923635719	0.7494964262	37238.96032	69.20955797	89.25575759	3000	4.210921349
41	1	0.4924337273	6.555329381	0.2259806234	17.5	0.1147923627	0.7518127329	38947.27308	72.69855202	92.92453264	3000	4.683790732
41	1	0.2738639789	10.40077385	0.1183804585	20	0.05811285726	0.749983474	24214.66972	59.3929807	79.51136116	3000	3.881982435
41	1	0.6657130145	5.133333673	0.05131809833	15	0.1189340183	0.7499286221	49985.45118	74.6693958	94.7207139	2997.567068	5.670825481
41	1	1.34754796	2.947097002	1.006070316	5	0.1220712702	0.7609056254	87733.66214	71.32146357	92.32753389	3000	9.742238881
41	1	0.3986240738	7.992528892	0.008058855924	17.5	0.04767341183	0.7485370144	31782.02136	57.76187461	77.76993347	3000	4.513385258
41	1	0.1274	20.26614419	0	22.5	0.09801191281	0.793133584	11989.08228	55	75	2465.430744	2
41	1	1.017267305	3.854641921	1.5191986	10	0.1238761943	0.766495838	66865.5682	69.63588705	91.15508565	3000	7.016294818
41	1	0.3834486812	9.817602221	6.696580783	20	0.1558198063	0.81082811	25706.49659	59.93340955	86.62999033	3000	3.915550775
41	1	1.056692079	3.490952369	0.06560885666	10	0.1360535316	0.7517887982	73925.42654	79.52816456	99.59377342	2978.836216	7.020527101
41	1	0.6450707464	5.301752819	0.01211736767	15	0.1108099725	0.7501244829	48368.98875	72.22355293	92.2356703	2988.575533	5.4505859
41	1	0.8805767326	4.072777763	0.06560885666	12.5	0.1360535316	0.7517887982	63236.07989	79.52816456	99.59377342	2978.836216	6.306404133
41	1	0.2548	11.11633294	0	20	0.03296444656	0.7485750839	22598.03675	55	75	2996.478258	3.41344534
41	1	0.8504018859	4.430604366	1.261398188	12.5	0.124746103	0.7637389605	58056.29093	70.99676668	92.25816486	3000	6.920798232
41	1	0.5419810852	6.148194092	0.8718884692	17.5	0.140865754	0.7595691974	41585.97167	77.88730843	98.7591969	3000	4.206952359
41	1	0.5198122792	6.297818044	0.4814369754	17.5	0.1301390753	0.755271154	40576.58731	76.08471752	96.5661545	2996.393539	4.206952359
41	1	0.1761325596	14.35959863	3.850490865	22.5	0.1342042451	0.7888220356	17290.75914	63.43047894	87.28096981	3000	2.547886281
41	1	0.3046441577	10.02452221	1.580415083	20	0.09265593679	0.7668084834	25157.30173	61.23375126	82.81416634	3000	3.71875122
41	1	0.4021137365	7.982797764	0.1605339333	17.5	0.05073100682	0.7504154088	31821.86115	57.76187461	77.92240855	3000	4.083044478
41	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.69753999
41	1	0.432228432	7.61932135	0.6772816096	17.5	0.07506566091	0.7567279675	33382.84331	60.7618434	81.43912501	3000	4.500835327
41	1	1.454570371	2.674319703	0.5516717998	5	0.1425203342	0.7559043955	96774.18598	80	100.5516718	3000	9.394372041
41	1	0.8825852829	4.024305618	0.01194383599	12.5	0.1347832128	0.7493708045	64008.58916	80	100.0119438	3000	6.51120418
41	1	0.1274	20.41650107	0	22.5	0.1002358975	0.7946570472	11894.16091	55	75	2447.274132	2
41	1	1.636391667	2.406887732	0.5516717998	2.5	0.1425203342	0.7559043955	107626.8733	80	100.5516718	3000	10.48690287
41	1	0.6253658126	5.44912309	0.02203305227	15	0.1005690352	0.7492218032	47036.52037	69.66725322	89.68928628	2999.883726	5.21443164
41	1	0.1433817571	15.20007381	0.01305174484	22.5	0.08139043789	0.7549295482	16284.91655	63.09972363	83.11277537	2927.428334	2.881469608
41	1	0.3986240738	8.30030777	0.008058855924	17.5	0.06073782881	0.7578613669	30570.15837	57.76187461	77.76993347	2888.758748	4.513385258
41	1	0.3986240738	8.30030777	0.008058855924	17.5	0.06073782881	0.7578613669	30570.15837	57.76187461	77.76993347	2888.758748	4.513385258
41	1	0.7814942231	4.541562033	0.01705323389	12.5	0.1005208601	0.7491880217	56615.8939	69.66784487	89.6848981	2999.548669	6.919970143
41	1	0.1274	20.26614419	0	22.5	0.09801191281	0.793133584	11989.08228	55	75	2465.430744	2
41	1	1.206913731	3.318751163	1.528927726	7.5	0.1284752025	0.7666446961	77807.91968	70.95579105	92.48471878	3000	8.324479006
41	1	0.9636501394	3.86282779	0.4165059936	10	0.1085127597	0.7540261058	66721.96354	70.06311086	90.47961685	3000	7.017121531
41	1	0.7814942231	4.541562033	0.01705323389	12.5	0.1005208601	0.7491880217	56615.8939	69.66784487	89.6848981	2999.548669	6.919970143
41	1	0.6657130145	5.133333673	0.05131809833	15	0.1189340183	0.7499286221	49985.45118	74.6693958	94.7207139	2997.567068	5.670825481
41	1	0.8805767326	4.072777763	0.06560885666	12.5	0.1360535316	0.7517887982	63236.07989	79.52816456	99.59377342	2978.836216	6.306404133
41	1	0.46696422	6.848954397	0.04619961047	17.5	0.09923635719	0.7494964262	37238.96032	69.20955797	89.25575759	3000	4.210921349
41	1	0.5419810852	6.148194092	0.8718884692	17.5	0.140865754	0.7595691974	41585.97167	77.88730843	98.7591969	3000	4.206952359
41	1	0.1274	20.25361875	0	22.5	0.0978251544	0.7930056517	11997.05327	55	75	2466.955439	2
41	1	0.3986240738	8.30030777	0.008058855924	17.5	0.06073782881	0.7578613669	30570.15837	57.76187461	77.76993347	2888.758748	4.513385258
41	1	1.235529141	3.018252718	0.01062831011	7.5	0.1347638388	0.749354448	85644.11159	80	100.0106283	3000	8.288917112
41	1	1.05852005	3.449607019	0.002041647023	10	0.1346373177	0.7492476331	74822.24852	80	100.0020416	3000	7.010233757
41	1	0.1274	16.65492498	0	22.5	0.03253307202	0.7482795858	14783.76923	55	75	3000	2.000008188
