#gen	Feasible	f1	f2	f3	f4	f5	c1	c2	c3	c4	c5	c6	c7	x1	x2	x3
78	1	63840.2774	1650.938324	285346.8965	6575303.126	5549.59083	0.7780163668	1.032175258	43218.53301	16235.00896	10237.69976	2119.325105	568.3674656	0.5503127746	0.01	0.01
78	1	63977.1015	2004.173006	321112.9203	6257456.007	3860.73005	0.845570798	1.047047107	43816.49864	16336.95592	10341.59926	2119.276177	576.3365676	0.6680576685	0.01125342256	0.01002793746
78	1	65378.99931	769.7268766	696536.2574	3708090.058	4783.413732	0.8086634507	1.038922026	43489.88097	16281.26621	10284.83895	2119.324788	571.9833805	0.2565756255	0.02441015711	0.01
78	1	65082.93715	349.3273502	617420.1998	4140136.951	13027.27137	0.4789091452	0.966328632	40570.25059	15783.55072	9777.634123	2119.326349	533.0771171	0.1164424501	0.02163752987	0.01
78	1	64225.07875	718.1116208	388176.5372	5697769.302	9906.561729	0.6037375309	0.9938088377	41675.47572	15971.96076	9969.636345	2119.326042	547.8050705	0.2393705403	0.01360367125	0.01
78	1	64944.53206	1232.816208	580434.5044	4359038.332	3392.16881	0.8643132476	1.051172988	43982.60187	16365.26137	10370.43554	2119.323914	578.5492558	0.4109387359	0.02034136384	0.01
78	1	65053.8345	343.2326707	609643.1607	4185233.947	13451.24474	0.4619502104	0.9625952262	40420.09691	15757.95371	9751.549086	2119.326381	531.0762068	0.1144108902	0.02136498305	0.01
78	1	64788.89084	400.6363629	538842.8348	4619056.109	13014.60411	0.4794158357	0.9664401768	40574.7368	15784.31549	9778.413479	2119.326348	533.1368993	0.1335454543	0.01888378116	0.01
78	1	64534.34271	1637.876403	470820.482	5078156.606	3092.560477	0.8762975809	1.053811266	44088.71064	16383.34996	10388.869	2119.323644	579.9632347	0.545958801	0.01649993351	0.01
78	1	66495.43281	2091.749574	994878.3911	2447125.409	664.4518461	0.9734219262	1.075192597	44948.6454	16529.94483	10538.25882	2119.317263	591.42251	0.6972498579	0.03486557602	0.01
78	1	65756.30575	694.2638206	668987.2742	4028657.858	6195.437228	0.7521825109	1.026512885	42964.29358	16193.36161	10196.68161	2111.581297	565.1022288	0.2314212735	0.02344470125	0.01449893714
78	1	64721.29706	965.869759	361388.7735	6250686.76	8447.138952	0.6621144419	1.00669094	42160.67219	16056.77571	10057.83545	2109.710962	554.4230142	0.3219565863	0.01266489238	0.01558587188
78	1	64001.00587	1555.693463	291216.881	6606200.692	5961.606999	0.76153572	1.028554305	43065.24625	16209.36697	10211.97999	2117.088397	566.3602446	0.5185644878	0.01020571398	0.01129951087
78	1	64340.28957	1530.125576	418962.6588	5458581.201	3875.314337	0.8449874265	1.046918527	43811.4916	16336.09187	10340.70991	2119.324192	576.2690846	0.5100418586	0.01468257282	0.01000004976
78	1	64763.59593	444.3849898	483010.0693	5078386.039	13306.44833	0.4677420667	0.9638797453	40461.62716	15765.68077	9759.967522	2116.366174	531.6765299	0.1481283299	0.01692711837	0.01171977552
78	1	64690.76401	774.7407145	512620.6135	4790903.496	6725.257899	0.7309896841	1.021822621	42802.1608	16164.02912	10165.36664	2119.325465	562.8189937	0.2582469048	0.01796482176	0.01
78	1	64902.23203	455.9879248	520038.5285	4823105.004	11992.17653	0.5203129389	0.9754529049	40927.08362	15845.02836	9840.828142	2116.36492	537.8791043	0.1519959749	0.01822478306	0.01172044031
78	1	64164.66157	1775.257665	372031.3826	5827369.012	3739.102283	0.8504359087	1.048117977	43859.73251	16344.31558	10349.0904	2119.324183	576.9119295	0.5917525551	0.01303786329	0.01
78	1	64237.19661	973.1322868	373587.0058	5850831.804	7494.651412	0.7002139435	1.015050973	42526.13143	16117.20898	10117.85148	2118.250229	559.1577343	0.3243774289	0.0130923802	0.01062477505
78	1	69245.53918	883.9510332	1729643.77	879329.1422	1181.25277	0.9527498892	1.070641801	44765.58833	16498.74055	10506.46115	2119.311528	588.9832708	0.2946503444	0.06061547509	0.01000489436
78	1	64594.41236	638.3202193	486872.7681	4965861.643	8806.833414	0.6477266635	1.003492776	42064.95361	16038.35587	10037.29733	2119.325886	552.9951553	0.2127734064	0.01706248689	0.01
78	1	64123.86521	678.2309027	358802.0931	5940551.838	11469.16684	0.5412333265	0.9800493688	41121.60376	15877.57175	9873.473537	2119.185824	540.4265358	0.2260769676	0.012574242	0.01008156272
78	1	64788.89084	400.6363629	538842.8348	4619056.109	13014.60411	0.4794158357	0.9664401768	40574.7368	15784.31549	9778.413479	2119.326348	533.1368993	0.1335454543	0.01888378116	0.01
78	1	64688.86851	636.5943562	512114.0817	4794285.245	8359.723541	0.6656110583	1.007429916	42223.30127	16065.34972	10064.80584	2119.325812	555.1052565	0.2121981187	0.01794707032	0.01
78	1	65053.8345	343.2326707	609643.1607	4185233.947	13451.24474	0.4619502104	0.9625952262	40420.09691	15757.95371	9751.549086	2119.326381	531.0762068	0.1144108902	0.02136498305	0.01
78	1	64995.98281	437.6481884	561966.2481	4522912.697	11469.66087	0.5412135653	0.9800507911	41115.48982	15876.92376	9873.144574	2117.382799	540.3736301	0.1458827295	0.01969414264	0.01112905842
78	1	64545.89931	622.5038436	464827.6966	5136886.461	9554.825669	0.6178069732	0.9969078932	41798.24161	15993.0087	9991.18626	2118.778207	549.4496971	0.2075012812	0.01628991597	0.01031824536
