#gen	Feasible	f1	f2	f3	f4	f5	c1	c2	c3	c4	c5	c6	c7	x1	x2	x3
83	1	66704.01129	875.2141184	1050616.373	2264306.939	2470.122556	0.9011950978	1.059292302	44309.15218	16420.92908	10427.1646	2119.322921	582.9007835	0.2917380395	0.03681891711	0.01
83	1	69319.47766	1680.418555	1749541.851	855248.4195	246.8296769	0.9901268129	1.078870075	45096.54975	16555.15839	10563.9531	2119.313079	593.3934463	0.5601395182	0.0613128046	0.01
83	1	72135.83387	372.3279005	2472533.893	315610.7544	2594.513952	0.8962194419	1.058202662	44259.21324	16412.80656	10419.21556	2117.536381	582.2636157	0.1241093002	0.08665010635	0.01103792255
83	1	64287.80768	1716.485153	359794.6993	6021128.001	4247.142771	0.8301142891	1.043653015	43670.83574	16312.70944	10317.38217	2116.601185	574.4378853	0.5721617176	0.01260902795	0.01158210086
83	1	67990.69933	874.3207132	1394310.027	1402897.405	1675.793061	0.9329682776	1.066287001	44590.44169	16468.88301	10476.03442	2119.312701	586.6493158	0.2914402377	0.04886368291	0.01000508981
83	1	65290.04827	1870.20965	646735.2318	4010528.846	1807.081455	0.9277167418	1.065135907	44538.80148	16460.42125	10467.69831	2117.751285	585.9859113	0.6234032168	0.02266487702	0.01091225214
83	1	63840.2774	1681.774498	285346.8965	6575303.126	5433.809659	0.7826476136	1.033194798	43259.53787	16241.99914	10244.82322	2119.325062	568.9138861	0.5605914992	0.01	0.01
83	1	73491.95526	831.2282502	2646930.598	264222.7741	1528.875597	0.9388449761	1.067622719	44599.26392	16473.25554	10482.90127	2106.189873	586.9747224	0.2770760834	0.09276184991	0.01762627914
83	1	68197.44423	1346.96889	1449694.851	1298667.653	758.4402693	0.9696623892	1.074364959	44915.35695	16524.27019	10532.47608	2119.317381	590.9789245	0.4489896299	0.05080464756	0.0100002947
83	1	64258.38129	1735.956118	295683.3065	6713358.875	5469.237145	0.7812305142	1.032902414	43226.84476	16237.76333	10241.63074	2113.208729	568.5751311	0.5786520392	0.01036224014	0.01355331
83	1	73035.93508	884.7337819	2741976.142	214677.1427	464.2913279	0.9814283469	1.076955298	45019.39349	16542.01473	10550.56667	2119.272955	592.3659567	0.2949112606	0.09609272697	0.01002476526
83	1	72515.15339	322.6544922	2576534.87	272794.1228	2930.063166	0.8827974734	1.055247388	44140.89951	16392.6026	10398.59717	2117.695838	580.684477	0.1075514974	0.09029482716	0.01094553558
83	1	65017.05899	322.5714123	599815.7223	4242923.9	14609.65914	0.4156136344	0.9523945123	40009.83486	15688.01548	9680.277431	2119.326457	525.6091576	0.1075238041	0.02102057985	0.01
83	1	64205.28926	1289.834225	371316.7765	5856638.256	5496.213882	0.7801514447	1.032647517	43235.13771	16237.99223	10240.8682	2118.627057	568.599795	0.4299447417	0.01301281987	0.01040552248
83	1	72451.67964	1349.040331	2586553.48	266506.9288	87.51655492	0.9964993378	1.080272948	45152.97181	16564.77678	10573.75487	2119.310402	594.1453125	0.4496801103	0.09064592997	0.01
83	1	64287.11891	1479.899	359607.1553	6022708.549	5020.108607	0.7991956557	1.036846468	43397.08281	16266.04226	10269.82527	2116.60139	570.7899255	0.4932996668	0.01260245546	0.01158222301
83	1	72352.79737	997.3136425	2560126.776	276501.0545	400.0919165	0.9839963233	1.077520486	45042.27014	16545.90527	10554.52358	2119.314805	592.6701323	0.3324378808	0.08971980448	0.01000009132
83	1	69155.6892	858.2539308	1705773.01	909016.9827	1266.946071	0.9493221571	1.06988718	44735.26709	16493.56978	10501.19025	2119.320269	588.579084	0.2860846436	0.05977892282	0.01
83	1	67008.11822	863.5242028	1131736.981	2022460.339	2279.520283	0.9088191887	1.060970727	44376.6267	16432.43352	10438.88999	2119.313879	583.8000708	0.2878414009	0.03966179394	0.01000508981
83	1	66776.34109	1834.586268	1069944.91	2204152.929	750.4780896	0.9699808764	1.074435071	44918.1785	16524.75107	10532.96604	2119.317838	591.0165156	0.6115287559	0.03749628689	0.01
83	1	67106.77153	469.6931551	1158245.128	1949040.945	4703.075518	0.8118769793	1.039629465	43518.33342	16286.11656	10289.78177	2119.32475	572.3625307	0.156564385	0.04059077362	0.01
83	1	70718.65515	867.975881	2123295.82	508155.5821	849.7308854	0.9660107646	1.073561103	44882.99844	16518.75577	10526.85804	2119.309662	590.5478538	0.2893252937	0.07441103606	0.01000508981
83	1	70146.59488	513.7859833	1970570.614	628596.6467	2173.15676	0.9130737296	1.06190731	44414.32508	16438.85813	10445.43548	2119.322468	584.3022911	0.1712619944	0.06905877155	0.01
83	1	68197.41276	780.4138758	1449694.851	1298663.864	1864.345387	0.9254261845	1.064626628	44523.69318	16457.50234	10464.43515	2119.321889	585.7597031	0.2601379586	0.05080464756	0.01
83	1	71881.24133	1086.334666	2434115.347	329558.2895	359.9838857	0.9856006446	1.077873667	45056.47503	16548.32679	10556.99125	2119.314451	592.8594216	0.3621115555	0.08530372598	0.01000003939
83	1	64003.03313	853.2813623	287475.0147	6650602.564	11541.12635	0.5383549458	0.9794232501	41088.36218	15872.41992	9868.656274	2116.831015	540.0208766	0.2844271208	0.01007458004	0.01144963013
83	1	70139.07617	720.0729311	1968561.405	630358.4966	1333.571475	0.946657141	1.069300493	44711.67115	16489.54733	10497.09111	2119.320495	588.2646504	0.2400243104	0.06898835872	0.01
83	1	72846.19134	788.53425	2681801.127	234216.7959	685.7480916	0.9725700763	1.075007033	44939.08107	16528.44862	10536.84691	2118.703213	591.3047846	0.26284475	0.0939838898	0.010356649
83	1	70663.50909	846.2372306	2105072.011	521852.0241	920.6203374	0.9631751865	1.072937541	44857.19946	16514.40376	10522.46172	2119.099605	590.2073959	0.2820790769	0.07377238152	0.01012730055
83	1	65296.75752	550.6184741	593243.2205	4404472.836	8693.736814	0.6522505274	1.004504381	42088.85069	16043.50227	10043.44336	2114.420708	553.3913188	0.1835394914	0.02079024611	0.01284971529
83	1	73241.03963	516.4272564	2755620.152	213665.3119	1506.584263	0.9397366295	1.067785071	44642.07743	16478.23588	10486.02821	2116.794661	587.3772812	0.1721424188	0.09657088216	0.01146741763
83	1	63959.88267	1328.443544	317308.7564	6288964.874	6292.064026	0.748317439	1.02563722	42955.57999	16190.18281	10192.01897	2119.325347	564.8634194	0.4428145145	0.0111201054	0.01
83	1	64304.23202	1463.173851	409328.4952	5532330.733	4201.853004	0.8319258798	1.044043107	43695.84552	16316.37742	10320.61958	2119.324483	574.7280124	0.487724617	0.01434494295	0.01
83	1	72638.38255	1006.927065	2636049.435	248784.6884	357.4364212	0.9857025432	1.077896176	45057.29872	16548.47242	10557.14404	2119.290567	592.8707756	0.3356423549	0.09238051884	0.01001388707
83	1	64345.18307	1499.041737	419324.4789	5457621.294	3971.541627	0.8411383349	1.046071356	43777.22398	16330.26267	10334.78006	2119.267197	575.8133468	0.4996805789	0.01469525283	0.01003319744
83	1	71024.7943	646.040262	2172393.514	479978.6297	1496.791316	0.9401283474	1.067869564	44647.33709	16479.01358	10486.72078	2117.338608	587.4387532	0.215346754	0.07613166781	0.01115145638
83	1	72138.60846	662.4335669	2472533.893	315691.9534	1182.596489	0.9526961404	1.070635805	44759.10817	16498.03447	10506.07663	2117.488161	588.9257989	0.220811189	0.08665010635	0.01106390663
83	1	63917.4424	1070.297582	305967.535	6389111.923	8318.836845	0.6672465262	1.007789955	42237.78163	16067.81822	10067.3214	2119.325805	555.2982182	0.3567658605	0.01072265158	0.01
83	1	70825.96184	734.0666083	2089387.271	544428.6578	1446.018154	0.9421592739	1.06832243	44659.38328	16481.46116	10489.54622	2115.536004	587.6278283	0.2446888694	0.07322270879	0.01219834605
83	1	68449.01627	1351.767398	1405534.648	1435482.772	1282.817425	0.948687303	1.069768934	44707.51238	16490.30778	10499.10104	2112.598573	588.3156974	0.4505891326	0.04925705048	0.01390386826
83	1	69415.16679	1081.708676	1775112.651	825319.6746	784.2196068	0.9686312157	1.074137951	44906.22866	16522.71396	10530.89009	2119.318046	590.8572751	0.3605695587	0.06220893492	0.01
83	1	71781.86578	1338.676463	2407552	341982.5314	158.0289826	0.9936788407	1.079652034	45127.99755	16560.51948	10569.41649	2119.311184	593.81252	0.4462254878	0.08437281181	0.01000029986
83	1	72500.4991	1349.040331	2599599.398	261707.3095	83.23825668	0.9966704697	1.080310621	45154.487	16565.03508	10574.01809	2119.310317	594.1655036	0.4496801103	0.091103125	0.01
83	1	72984.14678	831.3941894	2726651.208	219422.4671	556.7266316	0.9777309347	1.076141622	44986.36157	16536.4033	10544.86473	2119.184113	591.9272016	0.2771313965	0.09555566371	0.01007683016
83	1	72938.13842	914.6922887	2678242.366	237689.2424	615.088151	0.975396474	1.075634679	44958.51667	16532.1329	10540.91329	2117.004758	591.5906632	0.3048974296	0.09385917277	0.01134245202
83	1	71882.56428	1106.783378	2434458.076	329402.2184	339.0902841	0.9864363886	1.078057653	45063.87252	16549.588	10558.27663	2119.313556	592.9580091	0.3689277928	0.08531573694	0.01000041785
