#gen	Feasible	f1	f2	c1	c2	c3	c4	c5	x1	x2	x3	x4
49	1	2.750218849	2.075763322	9.602424832	0	0.2297761408	0.8298927714	124939.0093	80	109.6024248	3000	11.27446564
49	1	2.792956691	2.071044835	9.999598246	0	0.2323809074	0.8321141264	125225.7099	80	109.9995982	3000	11.31935608
49	1	2.063568958	2.156627921	3.011481013	0	0.1731343727	0.7817905035	120220.5686	80	103.011481	3000	11.41530325
49	1	2.787286532	2.071668882	9.946986592	0	0.2320399209	0.8318232722	125187.7171	80	109.9469866	3000	11.64588787
49	1	2.671483522	2.116007088	9.317044266	0	0.2247592162	0.8282098578	122545.7112	78.32505319	107.6420975	3000	11.74309436
49	1	2.791973302	2.071153022	9.990475488	0	0.2323218686	0.8320637663	125219.1217	80	109.9904755	3000	11.32138666
49	1	2.792787254	2.071063474	9.998026458	0	0.232370738	0.8321054519	125224.5748	80	109.9980265	3000	11.14972881
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.88030335
49	1	2.321844939	2.12971913	5.596588483	0	0.1983703139	0.8036131915	121750.915	79.76206908	105.3586576	3000	11.09855121
49	1	2.715594127	2.079611351	9.279590179	0	0.2276057303	0.8280426209	124706.1619	80	109.2795902	3000	11.3935996
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.15523154
49	1	2.764807438	2.074148808	9.738161819	0	0.230674332	0.8306586348	125036.9622	80	109.7381618	3000	11.53168734
49	0	3.351525223	1.752424322	9.999421946	-5	0.2323797668	0.8321131535	148157.5066	80	109.9994219	3000	13.20676729
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.15311999
49	0	3.299435122	1.756479777	9.596004585	-5	0.2297334487	0.8298563721	147813.3546	80	109.5960046	3000	13.51007033
49	1	1.532922262	2.658759478	1.540710919	5	0.1556808311	0.7670252591	97345.81808	80	101.5407109	3000	9.899870191
49	1	2.396842596	2.294030682	8.788865352	2.5	0.2242114103	0.825150532	112965.9575	80	108.7888654	3000	10.8317256
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.96122387
49	1	2.740359343	2.076856745	9.510593497	0	0.2291636944	0.8293706249	124872.7576	80	109.5105935	3000	11.59990802
49	1	2.79274139	2.07106852	9.997600993	0	0.2323679851	0.8321031036	125224.2675	80	109.997601	3000	11.15082734
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.98694343
49	1	2.791526447	2.071202189	9.986329832	0	0.2322950275	0.8320408709	125216.1278	80	109.9863298	3000	11.93507788
49	1	2.791526447	2.071202189	9.986329832	0	0.2322950275	0.8320408709	125216.1278	80	109.9863298	3000	11.93560018
49	1	1.978704205	2.16734143	2.167371734	0	0.1634043203	0.7735566102	119621.8506	80	102.1673717	3000	11.3935996
49	1	2.799974409	2.071908001	10.0892318	0	0.2328010197	0.832604674	125173.1653	79.91017602	109.9994078	3000	11.86080881
49	1	2.737471777	2.082236719	9.557888829	0	0.2289834912	0.8296319683	124547.7925	79.72504956	109.2829384	3000	11.54851377
49	1	2.792919627	2.071048912	9.999254425	0	0.232378683	0.832112229	125225.4616	80	109.9992544	3000	11.15334496
49	1	2.792937686	2.071046926	9.999421946	0	0.2323797668	0.8321131535	125225.5825	80	109.9994219	3000	11.8968485
49	1	2.513510535	2.278169552	9.998047134	2.5	0.2323708718	0.832105566	113758.7179	80	109.9980471	3000	10.55839763
49	1	2.7571456	2.074996241	9.666894526	0	0.2302037926	0.8302574032	124985.5293	80	109.6668945	3000	11.39282798
49	1	2.757881315	2.074914819	9.673739861	0	0.2302490888	0.8302960261	124990.4691	80	109.6737399	3000	11.78414021
49	1	2.6162355	2.090781437	8.347847798	0	0.2210585912	0.822465653	124035.1058	80	108.3478478	3000	11.87885767
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.59805193
49	1	2.754173666	2.075325247	9.639238335	0	0.2300205713	0.8301011786	124965.5723	80	109.6392383	3000	11.32160934
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.8718517
49	1	2.792454418	2.07110009	9.994938831	0	0.2323507581	0.832088409	125222.345	80	109.9949388	3000	11.16578016
49	1	2.792361317	2.071110333	9.994075138	0	0.2323451684	0.832083641	125221.7212	80	109.9940751	3000	11.88047256
49	1	2.7571456	2.074996241	9.666894526	0	0.2302037926	0.8302574032	124985.5293	80	109.6668945	3000	11.30946347
49	1	2.475477955	2.2833016	9.605331516	2.5	0.2297954628	0.8299092455	113501.006	80	109.6053315	3000	10.20141843
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.15037016
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.70036555
49	1	2.792361317	2.071110333	9.994075138	0	0.2323451684	0.832083641	125221.7212	80	109.9940751	3000	11.87885767
49	1	2.791911806	2.071159788	9.989904972	0	0.2323181752	0.8320606158	125218.7097	80	109.989905	3000	11.4682784
49	1	2.754173666	2.075325247	9.639238335	0	0.2300205713	0.8301011786	124965.5723	80	109.6392383	3000	11.59023596
49	1	2.757324559	2.074976434	9.668559662	0	0.2302148129	0.8302667999	124986.7309	80	109.6685597	3000	11.30879939
49	1	2.818063004	2.081852858	10.4374846	0	0.2338742372	0.8344736542	124570.9231	79.25603222	109.6935168	3000	11.18287063
49	1	0.2792990253	11.39072629	9.999909585	22.5	0.2323829216	0.8321158445	22031.98813	80	109.9999096	3000	2.472799174
49	1	2.605525412	2.091996971	8.246934364	0	0.2203230473	0.8218394714	123962.5135	80	108.2469344	3000	11.61163605
49	1	2.716548279	2.079505005	9.288499301	0	0.2276662816	0.8280942279	124712.5854	80	109.2884993	3000	11.31708292
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.8968485
49	1	1.956569581	2.170164036	1.94605998	0	0.1607277192	0.7712927153	119465.0948	80	101.94606	3000	11.87951488
49	1	2.722939951	2.078793067	9.34816097	0	0.2280708078	0.828439014	124755.6048	80	109.348161	3000	11.87460952
49	1	2.792194242	2.071128714	9.992525181	0	0.2323351366	0.8320750838	125220.6019	80	109.9925252	3000	11.46289827
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.8718517
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.54476885
49	0	3.0723	1.898453398	10	-2.5	0.2323835065	0.8321163435	136692	80	110	3000	12.87954855
49	1	2.792202948	2.071127756	9.99260595	0	0.2323356594	0.8320755298	125220.6602	80	109.992606	3000	11.64438527
49	1	1.719642761	2.393654317	1.486041853	2.5	0.1549854021	0.7664373551	108226.8685	80	101.4860419	3000	10.87842673
49	1	1.719642761	2.393654317	1.486041853	2.5	0.1549854021	0.7664373551	108226.8685	80	101.4860419	3000	10.87567109
49	1	2.713572665	2.079836711	9.260712965	0	0.2274773061	0.8279331684	124692.5519	80	109.260713	3000	11.87180461
49	1	2.716548279	2.079505005	9.288499301	0	0.2276662816	0.8280942279	124712.5854	80	109.2884993	3000	11.45899584
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.87190157
49	1	2.6840598	2.083135826	8.984737744	0	0.2255803145	0.8263166923	124493.6478	80	108.9847377	3000	11.16849199
49	1	2.791584604	2.07119579	9.986869379	0	0.2322985212	0.8320438511	125216.5175	80	109.9868694	3000	11.76325669
49	1	2.800692651	2.074212854	10.13171715	0	0.2328438981	0.8328335638	125033.0736	79.77937144	109.9110886	3000	11.87837088
49	1	2.512373803	2.278322407	9.986329832	2.5	0.2322950275	0.8320408709	113751.0253	80	109.9863298	3000	10.86071359
